0 0 N Y 0 0 0 I H 0 0 0 S C 0 0 0 0 M 0 0 0 0 0 D
0 W 0 0 0 0 0 0 0 L 0 J 0 0 0 T 0 0 0 P 0 0 B 0 0
L D 0 B 0 0 0 0 0 0 0 A 0 0 0 T 0 0 0 P 0 0 0 0 0
0 0 0 0 M 0 0 0 0 0 0 0 E X 0 0 0 0 0 0 0 0 0 N 0
0 0 M 0 0 0 0 0 0 0 Y 0 C 0 0 0 0 0 0 0 0 0 0 0 K
0 N 0 0 0 O 0 M 0 0 0 0 H B F 0 0 0 0 W 0 0 T 0 0
0 0 0 0 0 0 Q 0 0 0 0 0 0 0 0 0 G 0 0 0 0 0 0 0 0
0 0 0 R L 0 0 0 0 T 0 E 0 0 0 0 0 D 0 J 0 0 0 0 0
0 0 0 T 0 0 0 0 0 0 0 U 0 0 0 W 0 0 0 D L 0 P 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 X 0 0 U 0
0 0 F W 0 C 0 0 0 0 0 0 0 0 0 0 0 T 0 R 0 0 D 0 0
0 0 0 K 0 0 0 0 0 0 D M L 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 O 0 0 0 T 0 0 0 0 0 0 D 0 U 0 0 H Q 0 0 0 0
0 0 0 0 M 0 0 0 0 0 0 0 E S 0 0 0 0 N 0 0 0 0 0 0
O 0 0 0 0 0 T 0 0 0 0 0 0 0 A 0 0 0 0 G W 0 U 0 0
0 0 0 0 R 0 0 0 0 0 0 0 0 0 0 0 0 E 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 X 0 V 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Q P 0 0 0 0 0 0 0 0
E 0 0 0 A 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 P 0 0 0 0 0 V 0 0 0 0 0 0 0 B 0 0 0 0 0 H 0 0 0
0 X 0 H 0 0 0 D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 V 0 0 0 0 Q 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 R 0 P 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 V U 0 0 0
